,query,id,text,author_id,conversation_id,entities,geo,lang,referenced_tweets
695,energia infraestrutura,1535784770512179200,"@alvaroborba O @LulaOficial já fez uma autocrítica sobre Belo Monte na semana passada, pelo menos sobre os problemas causados à população original da região.

Falta ainda reavaliar o projeto como um todo, pois a geração de energia é irrisória frente ao tamanho da infraestrutura da usina.",21068307,1535595245941014529,"{'mentions': [{'start': 0, 'end': 12, 'username': 'alvaroborba', 'id': '36244117'}, {'start': 15, 'end': 27, 'username': 'LulaOficial', 'id': '2670726740'}], 'annotations': [{'start': 57, 'end': 66, 'probability': 0.3764, 'type': 'Person', 'normalized_text': 'Belo Monte'}]}",,pt,[<ReferencedTweet id=1535595245941014529 type=replied_to]
696,energia infraestrutura,1535738122910285825,"Outro fator é a dificuldade de levar Infraestrutura ao interior da Amazônia Legal. Diversas legislações e atuação destas ONGs junto a povos indígenas dificultam o processo, fazendo com que os custos para distribuidoras de energia não sejam viáveis.

https://t.co/NJWSPTXrht",1344631751029760001,1535738117667401728,"{'urls': [{'start': 250, 'end': 273, 'url': 'https://t.co/NJWSPTXrht', 'expanded_url': 'https://twitter.com/ViLiMiGu_Tex/status/1523945163474747393?t=Zun-t7c_5lIV7UKSARnS5w&s=19', 'display_url': 'twitter.com/ViLiMiGu_Tex/s…'}], 'annotations': [{'start': 67, 'end': 80, 'probability': 0.5808, 'type': 'Place', 'normalized_text': 'Amazônia Legal'}]}",,pt,"[<ReferencedTweet id=1523945163474747393 type=quoted, <ReferencedTweet id=1535738120536215553 type=replied_to]"
697,energia infraestrutura,1535716391671799810,@viliton1 @RoWeintraub O Governo do Bolsonaro está indo no caminho certo; sanou as estatais; fez a Reforma Agrária +340.000 títulos de terras c/ aporte 46 bilhões CEF; + 1.200.000 residências entregues; dessalinizadores + poços artesianos c/ energia solar; infraestrutura Renovada;desburocratização;PIX,195823713,1535638466268217344,"{'mentions': [{'start': 0, 'end': 9, 'username': 'viliton1', 'id': '739256153100722176'}, {'start': 10, 'end': 22, 'username': 'RoWeintraub', 'id': '1039926376122540033'}], 'annotations': [{'start': 36, 'end': 44, 'probability': 0.9988, 'type': 'Person', 'normalized_text': 'Bolsonaro'}]}",,pt,[<ReferencedTweet id=1535715100308430853 type=replied_to]
698,energia infraestrutura,1535710710721830913,"#iNFRATransporte | Conselho do PPI prorroga prazo do processo de relicitação de dois aeroportos. Saiba mais em: https://t.co/oOZ99SlXVn 📸: Carlos Bassan/Prefeitura de Campinas

#AgênciaiNFRA #iNFRATransporte #Transporte #iNFRAEnergia #Energia #Infraestrutura #Brasil https://t.co/E2GE8OaTZ7",815615313307959296,1535710710721830913,"{'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/oOZ99SlXVn', 'expanded_url': 'http://www.agenciainfra.com/blog/conselho-do-ppi-prorroga-prazo-do-processo-de-relicitacao-de-dois-aeroportos/', 'display_url': 'agenciainfra.com/blog/conselho-…'}, {'start': 267, 'end': 290, 'url': 'https://t.co/E2GE8OaTZ7', 'expanded_url': 'https://twitter.com/agencia_infra/status/1535710710721830913/photo/1', 'display_url': 'pic.twitter.com/E2GE8OaTZ7', 'media_key': '3_1533893789328228356'}], 'annotations': [{'start': 31, 'end': 33, 'probability': 0.9587, 'type': 'Organization', 'normalized_text': 'PPI'}, {'start': 168, 'end': 175, 'probability': 0.4987, 'type': 'Place', 'normalized_text': 'Campinas'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'iNFRATransporte'}, {'start': 177, 'end': 190, 'tag': 'AgênciaiNFRA'}, {'start': 191, 'end': 207, 'tag': 'iNFRATransporte'}, {'start': 208, 'end': 219, 'tag': 'Transporte'}, {'start': 220, 'end': 233, 'tag': 'iNFRAEnergia'}, {'start': 234, 'end': 242, 'tag': 'Energia'}, {'start': 243, 'end': 258, 'tag': 'Infraestrutura'}, {'start': 259, 'end': 266, 'tag': 'Brasil'}]}",,pt,
699,energia infraestrutura,1535710453179027459,"Abordaremos setores estratégicos, como agronegócio, infraestrutura, energia, inovação e tecnologia. Além disso, falaremos de novos modelos de negócios, iniciativas de investimento em ações e movimentos nas cadeias globais de valor, dentre outros temas.",43942831,1535710444702183424,,,pt,[<ReferencedTweet id=1535710449857183745 type=replied_to]
700,energia infraestrutura,1535707439206498304,"#iNFRATransporte | Associação defende que free flow comece com interoperabilidade com praças de pedágio. Saiba mais em: https://t.co/7rYt2Tafvy 📸: Rota das Bandeiras

#AgênciaiNFRA #iNFRATransporte #Transporte #iNFRAEnergia #Energia #Infraestrutura #Brasil https://t.co/tCrFpm5eV0",815615313307959296,1535707439206498304,"{'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/7rYt2Tafvy', 'expanded_url': 'http://www.agenciainfra.com/blog/associacao-defende-que-free-flow-comece-com-interoperabilidade-com-pracas-de-pedagio/', 'display_url': 'agenciainfra.com/blog/associaca…'}, {'start': 257, 'end': 280, 'url': 'https://t.co/tCrFpm5eV0', 'expanded_url': 'https://twitter.com/agencia_infra/status/1535707439206498304/photo/1', 'display_url': 'pic.twitter.com/tCrFpm5eV0', 'media_key': '3_1534253102328688641'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'iNFRATransporte'}, {'start': 167, 'end': 180, 'tag': 'AgênciaiNFRA'}, {'start': 181, 'end': 197, 'tag': 'iNFRATransporte'}, {'start': 198, 'end': 209, 'tag': 'Transporte'}, {'start': 210, 'end': 223, 'tag': 'iNFRAEnergia'}, {'start': 224, 'end': 232, 'tag': 'Energia'}, {'start': 233, 'end': 248, 'tag': 'Infraestrutura'}, {'start': 249, 'end': 256, 'tag': 'Brasil'}]}",,pt,
701,energia infraestrutura,1535694164926636032,"Mano, tem tanta pergunta que eu queria mt fazer ao Ciro Gomes que ngm faz... Exemplo: como melhorar nossa matriz energética, pra combater a escassez de energia e ter infraestrutura pra suportar a industrialização br que ele quer fazer? Pretende investir em energia nuclear?",1244473985997430787,1535694164926636032,"{'annotations': [{'start': 51, 'end': 60, 'probability': 0.9937, 'type': 'Person', 'normalized_text': 'Ciro Gomes'}]}",,pt,
702,energia infraestrutura,1535693961150484481,"@meupaiseursal @MorganaPnd Mano, tem tanta pergunta que eu queria mt fazer ao Ciro que ngm faz... Essa é uma delas. Outra: como melhorar nossa matriz energética, pra combater a escassez de energia e ter infraestrutura pra suportar a industrialização br que ele quer fazer? Pretende investir em en. nuclear?",1244473985997430787,1535678561255927808,"{'mentions': [{'start': 0, 'end': 14, 'username': 'meupaiseursal', 'id': '2176286621'}, {'start': 15, 'end': 26, 'username': 'MorganaPnd', 'id': '1435278920774037505'}], 'annotations': [{'start': 78, 'end': 81, 'probability': 0.9004, 'type': 'Person', 'normalized_text': 'Ciro'}]}",,pt,[<ReferencedTweet id=1535678561255927808 type=replied_to]
703,energia infraestrutura,1535691934571892736,"@PudimGostosoDLC @de_corenza @LulaOficial Abriu o mercado ? Só existem 3 operadoras que cobram preços absurdos e a cobertura, tirando os grandes centros, é péssima. Sobre as elétricas, é queda de energia o tempo todo, infraestrutura velha...",82938074,1535605140459249665,"{'mentions': [{'start': 0, 'end': 16, 'username': 'PudimGostosoDLC', 'id': '862395794'}, {'start': 17, 'end': 28, 'username': 'de_corenza', 'id': '1475620852846768128'}, {'start': 29, 'end': 41, 'username': 'LulaOficial', 'id': '2670726740'}]}",,pt,[<ReferencedTweet id=1535681889834569733 type=replied_to]
704,energia infraestrutura,1535687768352899072,@euNicolePuzzi 🤔Só 3🤔Reforma Agrária +340.000 Títulos Terras entregues c/ aporte de 46 bilhões CEF;compra garantida Min Cidadania;+ 1.200.000 residências entregues; + 830 dessalinizadores;+ 200 poços artesianos c/ energia solar;infraestrutura Renovada;Pontes entre estados;ponte Paraguai;PIX😉,195823713,1535612238618296322,"{'mentions': [{'start': 0, 'end': 14, 'username': 'euNicolePuzzi', 'id': '1519392349100589057'}]}",,pt,[<ReferencedTweet id=1535612238618296322 type=replied_to]
